indicator,country,countryiso3code,date,value,unit,obs_status,decimal,pais,indicador
"{'id': '1.0.HCount.Ofcl', 'value': 'Official Moderate Poverty Rate-National'}","{'id': 'MEX', 'value': 'Mexico'}",,2008,49.0,,,0.0,MX,1.0.HCount.Ofcl
"{'id': '1.0.HCount.Ofcl', 'value': 'Official Moderate Poverty Rate-National'}","{'id': 'MEX', 'value': 'Mexico'}",,2006,42.9,,,0.0,MX,1.0.HCount.Ofcl
"{'id': '1.0.HCount.Ofcl', 'value': 'Official Moderate Poverty Rate-National'}","{'id': 'MEX', 'value': 'Mexico'}",,2005,47.0,,,0.0,MX,1.0.HCount.Ofcl
"{'id': '1.0.HCount.Ofcl', 'value': 'Official Moderate Poverty Rate-National'}","{'id': 'MEX', 'value': 'Mexico'}",,2004,47.2,,,0.0,MX,1.0.HCount.Ofcl
"{'id': '1.0.HCount.Ofcl', 'value': 'Official Moderate Poverty Rate-National'}","{'id': 'MEX', 'value': 'Mexico'}",,2002,50.0,,,0.0,MX,1.0.HCount.Ofcl
"{'id': '1.0.HCount.Ofcl', 'value': 'Official Moderate Poverty Rate-National'}","{'id': 'MEX', 'value': 'Mexico'}",,2000,53.6,,,0.0,MX,1.0.HCount.Ofcl
"{'id': '1.0.HCount.Ofcl', 'value': 'Official Moderate Poverty Rate-National'}","{'id': 'BRA', 'value': 'Brazil'}",,2014,7.4,,,0.0,BR,1.0.HCount.Ofcl
"{'id': '1.0.HCount.Ofcl', 'value': 'Official Moderate Poverty Rate-National'}","{'id': 'BRA', 'value': 'Brazil'}",,2013,8.88479374,,,0.0,BR,1.0.HCount.Ofcl
"{'id': '1.0.HCount.Ofcl', 'value': 'Official Moderate Poverty Rate-National'}","{'id': 'BRA', 'value': 'Brazil'}",,2012,8.9639166,,,0.0,BR,1.0.HCount.Ofcl
"{'id': '1.0.HCount.Ofcl', 'value': 'Official Moderate Poverty Rate-National'}","{'id': 'BRA', 'value': 'Brazil'}",,2011,11.117933,,,0.0,BR,1.0.HCount.Ofcl
"{'id': '1.0.HCount.Ofcl', 'value': 'Official Moderate Poverty Rate-National'}","{'id': 'BRA', 'value': 'Brazil'}",,2009,13.289279,,,0.0,BR,1.0.HCount.Ofcl
"{'id': '1.0.HCount.Ofcl', 'value': 'Official Moderate Poverty Rate-National'}","{'id': 'BRA', 'value': 'Brazil'}",,2008,14.084228,,,0.0,BR,1.0.HCount.Ofcl
